Store_ID,Name,Address,Features,Manager
S-100,Starbucks Downtown,"123 Main St, NY","Heated Patio, Free WiFi, Drive-Thru",Deepak
S-101,Retail Branch #1,591 Broadway,Standard Seating,Manager_1
S-102,Retail Branch #2,887 5th Ave,Standard Seating,Manager_2
S-103,Retail Branch #3,356 Broadway,24/7 Service,Manager_3
S-104,Retail Branch #4,209 Wall St,24/7 Service,Manager_4
S-105,Retail Branch #5,321 Wall St,Kiosk Only,Manager_5
S-106,Retail Branch #6,873 Wall St,Standard Seating,Manager_6
S-107,Retail Branch #7,876 Broadway,24/7 Service,Manager_7
S-108,Retail Branch #8,922 5th Ave,Standard Seating,Manager_8
S-109,Retail Branch #9,98 Broadway,24/7 Service,Manager_9
S-110,Retail Branch #10,870 Wall St,24/7 Service,Manager_10
S-111,Retail Branch #11,119 Broadway,24/7 Service,Manager_11
S-112,Retail Branch #12,138 Wall St,Standard Seating,Manager_12
S-113,Retail Branch #13,900 5th Ave,24/7 Service,Manager_13
S-114,Retail Branch #14,54 5th Ave,Standard Seating,Manager_14
S-115,Retail Branch #15,53 Wall St,Kiosk Only,Manager_15
S-116,Retail Branch #16,792 5th Ave,Kiosk Only,Manager_16
S-117,Retail Branch #17,806 Wall St,24/7 Service,Manager_17
S-118,Retail Branch #18,461 Broadway,Standard Seating,Manager_18
S-119,Retail Branch #19,929 Wall St,Kiosk Only,Manager_19
S-120,Retail Branch #20,5 Wall St,24/7 Service,Manager_20
S-121,Retail Branch #21,384 Wall St,24/7 Service,Manager_21
S-122,Retail Branch #22,759 Broadway,Standard Seating,Manager_22
S-123,Retail Branch #23,930 Broadway,Kiosk Only,Manager_23
S-124,Retail Branch #24,980 Wall St,Kiosk Only,Manager_24
S-125,Retail Branch #25,574 Broadway,24/7 Service,Manager_25
S-126,Retail Branch #26,932 Wall St,Kiosk Only,Manager_26
S-127,Retail Branch #27,603 5th Ave,Kiosk Only,Manager_27
S-128,Retail Branch #28,488 Wall St,Standard Seating,Manager_28
S-129,Retail Branch #29,112 Broadway,Kiosk Only,Manager_29
S-130,Retail Branch #30,640 Wall St,24/7 Service,Manager_30
S-131,Retail Branch #31,974 Broadway,Standard Seating,Manager_31
S-132,Retail Branch #32,991 Broadway,24/7 Service,Manager_32
S-133,Retail Branch #33,501 Wall St,24/7 Service,Manager_33
S-134,Retail Branch #34,335 Broadway,Standard Seating,Manager_34
S-135,Retail Branch #35,126 5th Ave,24/7 Service,Manager_35
S-136,Retail Branch #36,832 Wall St,24/7 Service,Manager_36
S-137,Retail Branch #37,218 5th Ave,24/7 Service,Manager_37
S-138,Retail Branch #38,981 Broadway,Standard Seating,Manager_38
S-139,Retail Branch #39,636 Broadway,Kiosk Only,Manager_39
S-140,Retail Branch #40,954 Broadway,Standard Seating,Manager_40
S-141,Retail Branch #41,822 Broadway,Standard Seating,Manager_41
S-142,Retail Branch #42,230 5th Ave,Kiosk Only,Manager_42
S-143,Retail Branch #43,521 Wall St,Standard Seating,Manager_43
S-144,Retail Branch #44,134 Wall St,24/7 Service,Manager_44
S-145,Retail Branch #45,202 5th Ave,Kiosk Only,Manager_45
S-146,Retail Branch #46,939 5th Ave,Standard Seating,Manager_46
S-147,Retail Branch #47,207 Broadway,24/7 Service,Manager_47
S-148,Retail Branch #48,588 5th Ave,Standard Seating,Manager_48
S-149,Retail Branch #49,795 Wall St,24/7 Service,Manager_49
